group,gid
0,136267
0,163576
0,137096
0,148105
0,146356
0,136769
0,135514
0,136292
0,147935
0,135015
0,145973
0,114
0,136437
0,145804
0,135025
0,145624
0,136265
0,136020
0,135792
0,136890
0,135700
0,136057
0,135630
0,136762
0,146876
0,136630
0,135173
0,136615
0,136616
0,145790
0,136937
0,422
0,498
0,137540
0,135001
0,136783
0,136482
0,148101
0,146001
0,136772
0,145966
0,595
0,136619
0,137519
0,135626
0,134871
0,135995
0,145796
0,146964
0,147154
0,148099
0,145806
0,135283
0,146184
0,134857
0,135164
0,136644
0,136021
0,137064
0,145600
0,899
0,900
0,135098
0,137029
0,146523
0,146830
0,136242
0,145644
0,147103
0,135617
0,136429
0,135005
0,147295
0,146531
0,135311
0,135519
0,136946
0,148094
0,135285
0,135277
0,135797
0,136775
0,145913
0,136247
0,2454
0,2609
0,136416
0,136892
0,145622
0,146656
0,137045
0,148113
0,146528
0,135440
0,135886
0,136732
0,147469
0,136211
0,137083
0,148126
0,137224
0,147321
0,146877
0,146350
0,134940
0,135882
0,136025
0,136284
0,145990
0,3097
0,3098
0,136894
0,137037
0,135623
0,137102
0,146972
0,136087
0,147298
0,137555
0,137047
0,137554
0,136739
0,137111
0,148124
0,135151
0,147948
0,157074
0,136124
0,135657
0,137249
0,136410
0,145596
0,137088
0,136414
0,136641
0,145977
0,146191
0,135675
0,136248
0,135689
0,135149
0,137370
0,146090
0,146006
0,135686
0,147312
0,135028
0,137539
0,136594
0,136238
0,134939
0,136595
0,147319
0,135620
0,136770
0,135873
0,136778
0,136453
0,148104
0,136094
0,135867
0,136859
0,137041
0,3548
0,3552
0,3550
0,148100
0,135148
0,136224
0,136643
0,137106
0,137229
0,137409
0,148077
0,137117
0,145981
0,137402
0,135004
0,137084
0,136914
0,135315
0,146517
0,147310
0,137536
0,135092
0,135589
0,135611
0,305
0,136095
0,136758
0,137242
0,136568
0,137091
0,157072
0,136740
0,135668
0,137406
0,137524
0,137021
0,147123
0,135890
0,136629
0,136850
0,136738
0,136911
0,135621
0,135695
0,136110
0,137379
0,136032
0,146183
0,147120
0,147468
0,136450
0,146657
0,136930
0,136010
0,136442
0,136320
0,145593
0,136310
0,135814
0,135293
0,147334
0,135009
0,136055
0,136436
0,147933
0,136785
0,137432
0,136421
0,136794
0,147132
0,136281
0,136623
0,136277
0,146812
0,136743
0,136578
0,136848
0,136447
0,136599
0,135175
0,135317
0,136060
0,146175
0,136793
0,145642
0,136043
0,135593
0,145829
0,147956
0,137225
0,146664
0,4353
0,134872
0,136926
0,136106
0,136328
0,134859
0,146965
0,137557
0,135034
0,135635
0,136438
0,136003
0,136766
0,137101
0,135699
0,137080
0,145997
0,135322
0,137233
0,135683
0,148125
0,135640
0,146087
0,136768
0,135615
0,4782
0,137262
0,155962
0,146978
0,147293
0,4922
0,4923
0,4945
0,5044
0,137114
0,145827
0,146199
0,135874
0,137023
0,137076
0,137369
0,135438
0,136791
0,136908
0,136318
0,136409
0,137038
0,135300
0,136390
0,136461
0,136941
0,135586
0,145825
0,5427
0,147458
0,135292
0,136073
0,135163
0,137248
0,137361
0,135239
0,136298
0,145980
0,137433
0,148128
0,136954
0,135858
0,136105
0,145970
0,135588
0,136565
0,136602
0,137384
0,136939
0,135478
0,136797
0,135799
0,146698
0,137261
0,135787
0,135658
0,137079
0,147942
0,136462
0,136611
0,137364
0,135624
0,135888
0,136947
0,136771
0,146827
0,135036
0,5858
0,5855
0,136469
0,146815
0,135280
0,135095
0,5905
0,137026
0,136949
0,146201
0,145962
0,136141
0,136405
0,137374
0,135669
0,137532
0,135507
0,136066
0,147941
0,134858
0,146692
0,137228
0,135521
0,136400
0,135841
0,137401
0,145623
0,147316
0,145599
0,136458
0,137400
0,7101
0,135333
0,136262
0,146169
0,147151
0,135029
0,136860
0,135614
0,136264
0,146190
0,146347
0,147311
0,136212
0,136406
0,146873
0,146968
0,136730
0,146817
0,137550
0,136219
0,135480
0,136945
0,137103
0,136912
0,137239
0,136217
0,134880
0,135522
0,137085
0,147130
0,136923
0,137107
0,137386
0,135332
0,135477
0,135869
0,135325
0,135587
0,145637
0,146516
0,145612
0,134878
0,137237
0,136885
0,148118
0,147158
0,135512
0,137398
0,137246
0,136083
0,136878
0,148127
0,135439
0,135878
0,147107
0,136008
0,136289
0,135992
0,135786
0,146192
0,146510
0,136396
0,146658
0,137518
0,146663
0,146085
0,136090
0,136378
0,137061
0,135804
0,136263
0,136651
0,135150
0,135279
0,136881
0,136092
0,135791
0,136632
0,146178
0,136012
0,136478
0,135513
0,137020
0,5467
0,135497
0,136763
0,135842
0,135889
0,135006
0,135326
0,147303
0,135437
0,136000
0,135794
0,136928
0,136291
0,136398
0,136742
0,146344
0,157632
0,136465
0,137081
0,146814
0,136868
0,137072
0,136801
0,136136
0,136935
0,135870
0,145965
0,135442
0,136588
0,136648
0,136931
0,135654
0,136889
0,135887
0,136273
0,136072
0,136243
0,146193
0,136787
0,137067
0,136313
0,135672
0,136909
0,148079
0,136116
0,136245
0,135989
